arrival_date_month,day_name,average_cancellation_rate,average_booking_count
January,Monday,0.2896551724137931,435
January,Tuesday,0.2567237163814181,409
January,Wednesday,0.23676880222841226,359
January,Thursday,0.2911764705882353,340
January,Friday,0.3356009070294785,441
January,Saturday,0.2809278350515464,388
January,Sunday,0.2569832402234637,358
February,Monday,0.2583479789103691,569
February,Tuesday,0.2706552706552707,351
February,Wednesday,0.24797843665768193,371
February,Thursday,0.2682926829268293,492
February,Friday,0.3073463268365817,667
February,Saturday,0.2773972602739726,584
February,Sunday,0.24736842105263157,570
March,Monday,0.2317262830482115,643
March,Tuesday,0.26109215017064846,586
March,Wednesday,0.248,750
March,Thursday,0.3259668508287293,905
March,Friday,0.33217993079584773,867
March,Saturday,0.30347349177330896,547
March,Sunday,0.22882882882882882,555
April,Monday,0.2870493991989319,749
April,Tuesday,0.29108910891089107,505
April,Wednesday,0.32142857142857145,616
April,Thursday,0.3520336605890603,713
April,Friday,0.38353196099674974,923
April,Saturday,0.3906432748538012,855
April,Sunday,0.34825174825174826,715
May,Monday,0.3057517658930373,991
May,Tuesday,0.2616580310880829,772
May,Wednesday,0.33700137551581844,727
May,Thursday,0.3253652058432935,753
May,Friday,0.3803763440860215,744
May,Saturday,0.378698224852071,676
May,Sunday,0.2838018741633199,747
June,Monday,0.2646341463414634,820
June,Tuesday,0.2844175491679274,661
June,Wednesday,0.3095599393019727,659
June,Thursday,0.36941964285714285,896
June,Friday,0.3078817733990148,812
June,Saturday,0.3055555555555556,468
June,Sunday,0.27405247813411077,686
July,Monday,0.3477832512315271,1015
July,Tuesday,0.29465648854961835,655
July,Wednesday,0.31629834254143646,724
July,Thursday,0.36530880420499345,761
July,Friday,0.33288590604026846,745
July,Saturday,0.33137254901960783,1020
July,Sunday,0.31303288672350793,821
August,Monday,0.3257443082311734,1142
August,Tuesday,0.30569948186528495,965
August,Wednesday,0.32716650438169426,1027
August,Thursday,0.32801822323462415,878
August,Friday,0.33212996389891697,831
August,Saturday,0.3412784398699892,923
August,Sunday,0.2737226277372263,822
September,Monday,0.25766871165644173,652
September,Tuesday,0.20112781954887218,532
September,Wednesday,0.21389396709323583,547
September,Thursday,0.28840579710144926,690
September,Friday,0.276,750
September,Saturday,0.2485207100591716,507
September,Sunday,0.25585585585585585,555
October,Monday,0.2423841059602649,755
October,Tuesday,0.24425887265135698,479
October,Wednesday,0.2572614107883817,482
October,Thursday,0.27986906710310966,611
October,Friday,0.25736434108527134,645
October,Saturday,0.3404255319148936,564
October,Sunday,0.2582089552238806,670
November,Monday,0.19294990723562153,539
November,Tuesday,0.22727272727272727,352
November,Wednesday,0.2293144208037825,423
November,Thursday,0.2388888888888889,360
November,Friday,0.29609929078014185,564
November,Saturday,0.31750741839762614,337
November,Sunday,0.28610354223433243,367
December,Monday,0.37142857142857144,350
December,Tuesday,0.3097560975609756,410
December,Wednesday,0.32009345794392524,428
December,Thursday,0.3261261261261261,555
December,Friday,0.37572254335260113,519
December,Saturday,0.2892561983471074,484
December,Sunday,0.26119402985074625,268
